status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,
Satisfactory,findings-7,Main variables - Position manager allows needs to be revoked after each operation can be bypassed,Permit will not be renounced if done outside of zap contracts,,Permit leak. Same root cause as in #54,"""https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L303,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L455,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L245""",,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/ZapRouterBase.sol#L115-L133,"""https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L303,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L455,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L245,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/ZapRouterBase.sol#L115-L133""",findings-7,"""DUPE-EbtcLeverageZapRouter-001,DUPE-EbtcLeverageZapRouter-002,DUPE-EbtcLeverageZapRouter-003,DUPE-ZapRouterBase-002""",DUPE-EbtcLeverageZapRouter-001,DUPE-EbtcLeverageZapRouter-002,DUPE-EbtcLeverageZapRouter-003,DUPE-ZapRouterBase-002
Satisfactory,validation-122,Adjusting a CDP allows a user to reduce their collateral under the threshold enforced by the protocol,Invalid,,Could be illiquid,,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L403-L467,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L403-L467,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L403-L467,validation-122,DUPE-EbtcLeverageZapRouter-001,,,,
Satisfactory,validation-90,Potential Collateral Requirement Oversight in CDP Adjustment Functions,Invalid. If an adjust of collateral is valid or invalid is task of borrow operations contract,,Could be illiquid,,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L403,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L403-L467,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L403-L467,validation-122,DUPE-EbtcLeverageZapRouter-001,,,,
Satisfactory,validation-108,Reverting all actions,Invalid. Check the comment above the contract,,Could be ready DoS if willSweep were immutably set true,,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L241,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L241,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L241,validation-146,DUPE-LeverageMacroBase-001,,,,
Satisfactory,validation-146,`LeverageMacroBase::_doOperation` will revert if `willSweep` is set to true,Invalid,,Could be ready DoS if willSweep were immutably set true. Impractical mitigation suggested though,,https://github.com/code-423n4/ebtc/blob/main/packages/contracts/contracts/LeverageMacroBase.sol#L241-L243,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L241,"""https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L241,https://github.com/code-423n4/ebtc/blob/main/packages/contracts/contracts/LeverageMacroBase.sol#L241-L243""",validation-146,"""DUPE-LeverageMacroBase-001,DUPE-LeverageMacroBase-004""",DUPE-LeverageMacroBase-001,DUPE-LeverageMacroBase-004,,
Satisfactory,validation-144,"`_depositRawEthIntoLido` doesn't check for after - before balance, can lead to first depositor vulnerability",Use balance diff instead of just balanceOf,,stEth.balanceOf(address(this)) is balAfter,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/ZapRouterBase.sol#L38,,"""https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/ZapRouterBase.sol#L38,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54""",validation-144,"""DUPE-LeverageMacroBase-002,DUPE-ZapRouterBase-001""",DUPE-LeverageMacroBase-002,DUPE-ZapRouterBase-001,,
Satisfactory,validation-74,_doSwapChecks might fail to validate the expectedMinOut constraint.,Use balance diff instead of just balanceOf,,Mitigation reduces likelihood of revert,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L485-L497,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,validation-144,DUPE-LeverageMacroBase-002,,,,
Satisfactory,validation-93,LeverageMacroBase::_doSwapChecks Misleading Balance Calculation Compromises Slippage Protection,Use balance diff instead of just balanceOf,,Insufficient proof opposing coded POC of #74,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491,,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,validation-144,DUPE-LeverageMacroBase-002,,,,
Satisfactory,validation-113,Incorrect Comparison Logic in Post-Operation Checks,Comparison operator is inverted for lte and gte cases,,Insufficient proof alleging the flaw as it's in #75,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,,"""https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290""",validation-50,"""DUPE-LeverageMacroBase-003,DUPE-LeverageZapRouterBase-001""",DUPE-LeverageMacroBase-003,DUPE-LeverageZapRouterBase-001,,
Satisfactory,validation-149,Incorrect comparison logic in `_doCheckValueType` leading to incorrect post-operation checks,Comparison operator is inverted for lte and gte cases,,Insufficient proof alleging the flaw as it's in #75,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,,"""https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,https://github.com/code-423n4/2024-06-badger/blob/main/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290""",validation-50,"""DUPE-LeverageMacroBase-003,DUPE-LeverageZapRouterBase-001""",DUPE-LeverageMacroBase-003,DUPE-LeverageZapRouterBase-001,,
