issue,title,validator comment,grade,root cause (URL),size
findings-11,Price manipulation in the DEX,Invalid.,Unsatisfactory,,68
findings-12,openCdp，adjustCdp Sliding point control may fail,Invalid. Low quality report,Unsatisfactory,,188
findings-14,Staking ETH incorrectly assumes revert bubbling,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,190
findings-3,Both routers don't support third party delegating operations on CDP,"Invalid. Feature request, no security impact described",Unsatisfactory,,107
findings-7,Main variables - Position manager allows needs to be revoked after each operation can be bypassed,Permit will not be renounced if done outside of zap contracts,Satisfactory,"https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L303,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L455,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/EbtcLeverageZapRouter.sol#L245",113
findings-8,Incorrect collateral calculation,Report is of low quality and lacks evidence,Unsatisfactory,,28
findings-9,"ZapRouter Contract Can Retain Tokens, Breaking Invariant","Invalid. Seems like a user mistake, no impact for the protocol described",Unsatisfactory,,90
validation-10,no check that `_stETHDiff` is greater than zero  ,Invalid,Unsatisfactory,,30
validation-100,ZapRouterBase::_depositRawEthIntoLido Lacks Proper Validation Checks for Low-Level call,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,79
validation-101,Unchecked Low-Level Call in _depositRawEthIntoLido Function,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,43
validation-102,Malicious actors can donate steth temporarily to Sandwich and MEV swaps through the router,Invalid,Unsatisfactory,,207
validation-103,Lack of Slippage Protection in Token Swaps,Invalid. The code does have slippage protection.,Unsatisfactory,,67
validation-104,Improper CDP Borrower Address Handling in `_openCdpCallback` Function,GPT,Unsatisfactory,,85
validation-105,Flash Loan Transaction Might Always End up Reverting Due to An Assumption That The Receiver Has Already Set The Necessary Approval,Invalid. Contract is OOS,Unsatisfactory,,114
validation-106,ERC20 tokens with no return value will fail to transfer,Invalid,Unsatisfactory,,61
validation-107,Unchecked .call() Low-Level Function Result,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,164
validation-108,Reverting all actions,Invalid. Check the comment above the contract,Unsatisfactory,,50
validation-109,Inconsistent Collateral Assignment in `openCdpWithWstEth` Function Allows Under-Collateralized CDP Creation,Invalid,Unsatisfactory,,305
validation-11,lack checks `_stETHReiceived`,GPT,Unsatisfactory,,35
validation-110,ETH Lockup Due to Lack of Error Handling in EbtcLeverageZapRouter Contract,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,62
validation-111,Failure in ETH to stETH Conversion Without User Feedback in EbtcLeverageZapRouter Contract,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,55
validation-112,Unintended Swap Failures Leading to  DoS in `_doSwapChecks` Function,Change > to >=,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L490-L494,70
validation-113,Incorrect Comparison Logic in Post-Operation Checks,Comparison operator is inverted for lte and gte cases,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290,73
validation-114,"Position Manager Permit Not Revoked After Operations, Compromising CDP Security",GPT,Unsatisfactory,,57
validation-115,Unchecked return value of the low-level call() in `_depositRawEthIntoLido` .,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,53
validation-116,Insufficient Collateral Transfer Check in _getAdjustCdpParams,Invalid,Unsatisfactory,,363
validation-117,Fixed Hash Value in LeverageMacroBase contract,Invalid,Unsatisfactory,,83
validation-118,Unchecked ETH Transfer in _depositRawEthIntoLido Function,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,40
validation-12,`doOperation` Marked External But Always Reverts,Invalid,Unsatisfactory,,47
validation-120,Deposit success on Lido is not checked which could lead to unexpected behavior,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,57
validation-121,The contract does not sweep potential remaining stETH tokens,Invalid. Report does not describe how stETH will remain in the contract,Unsatisfactory,,109
validation-122,Adjusting a CDP allows a user to reduce their collateral under the threshold enforced by the protocol,Invalid,Unsatisfactory,,93
validation-123,"In the _doSwapChecks function, the comparison between the number of tokens received and expectedMinOut should use >=",Change > to >=,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L490-L494,57
validation-124,Users can re-enter Router through DEX to reduce the cost of flash loan from BorrowerOperations,Invalid,Unsatisfactory,,57
validation-125,The condition check for parameters in the _getPostCheckParams function is reversed,Use lte instead of gte for decrease operations,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,161
validation-126,Wrong judgment causes the user's check to not work,Use lte instead of gte for decrease operations,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/LeverageZapRouterBase.sol#L269,39
validation-127,Not real closing cdp,Invalid,Unsatisfactory,,39
validation-128,The router may not be able to operate due to insufficient funds.,Invalid,Unsatisfactory,,31
validation-129,"Protocol or Users won't be eligible for Lido's referral rewards for depositing ETH, as the referral account is not properly set.",Invalid,Unsatisfactory,,35
validation-13, Add Require Statement to Handle Potential Failures in _depositRawEthIntoLido Function,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,32
validation-130,Unlocked Pragma,Invalid,Unsatisfactory,,39
validation-131,If Lido eth deposit reverts all users deposited Eth  will be locked in smart contract,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,66
validation-132,Misalignment in Borrower Assignment when Opening CDP,Invalid,Unsatisfactory,,117
validation-133,`excessivelySafeCall` will not work with protocol that returns err-code instead of reverting,ExcessivelySafeCall does not work for some DEXs,Satisfactory,"https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L464-L470, https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L594-L597",54
validation-134,[M-1] If any eBTC or stETH are accidentally locked the first user to openCDP will gain all of them ,Invalid,Unsatisfactory,,74
validation-136,USER CAN INFLATE HIS COLLATERAL  SHARES TO STEAL PROTOCOL AND OTHER USER SHARES OR EVEN DOS THE PROTOCOL,Invalid. Low quality report,Unsatisfactory,,105
validation-137,Use call instead of transfer,Invalid. Low quality report,Unsatisfactory,,62
validation-138,[H-2] Missing validation for `TradeData`,Invalid,Unsatisfactory,,36
validation-142,Unchecked return value from low-level `call()`,Invalid. Low quality report,Unsatisfactory,,25
validation-143,"`_convertWrappedEthToStETH` of `ZapRouterBase` is mathematically incorrect, can potentially break the functionality of protocol",Invalid. Low quality report,Unsatisfactory,,89
validation-144,"`_depositRawEthIntoLido` doesn't check for after - before balance, can lead to first depositor vulnerability",Use balance diff instead of just balanceOf,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L491C20-L492C54,58
validation-145,Unsafe Ether Deposit Using Low-Level call in _depositRawEthIntoLido function,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,45
validation-146,`LeverageMacroBase::_doOperation` will revert if `willSweep` is set to true,Invalid,Unsatisfactory,,238
validation-148,Position Manager Permit Not Consistently Revoked After Operations,Invalid. Main point is EbtcLevaregeZapRouter,Unsatisfactory,,71
validation-149,Incorrect comparison logic in `_doCheckValueType` leading to incorrect post-operation checks,Comparison operator is inverted for lte and gte cases,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-protocol/packages/contracts/contracts/LeverageMacroBase.sol#L277-L290,72
validation-15,Lack of input validation on the _convertWrappedEthToStETH function in the ZapRouterBase contract,Invalid,Unsatisfactory,,58
validation-151,Unchecked Return Value in LeverageMacroBase._doSwap,Invalid,Unsatisfactory,,41
validation-153,Fee calculation in `LeverageZapRouterBase` may result in excessive fees and inaccurate CDP debt,Invalid,Unsatisfactory,,78
validation-154,A user could sandwich the oracle update by opening and closing `cdp` to gain profits,Invalid,Unsatisfactory,,27
validation-155,Mistakenly-sent stETH/eBTC could be used by the next user to openCdp/closeCdp,Invalid,Unsatisfactory,,82
validation-158,Lack of Token Validation in `_getSwapOperations` Function Can Lead to Incorrect Token Handling,Invalid. ,Unsatisfactory,,42
validation-159,Missing the return value check when sending native ETH to Lido can result in mis-functioning of _adjustCDP and user's fund lost,Lido call is not check for success,Satisfactory,https://github.com/code-423n4/2024-06-badger/blob/9173558ee1ac8a78a7ae0a39b97b50ff0dd9e0f8/ebtc-zap-router/src/ZapRouterBase.sol#L38-L38,140
