issue,title,validator comment,grade,size,Best
validation-47,Gas Optimizations,3K(1),Satisfactory,28,
validation-86,QA Report,"1M(2) 2L(1,12)",Satisfactory,578,
validation-182,QA Report,1M(9) 1L(4),Satisfactory,218,
validation-180,QA Report,1M(5) 1L(1),Satisfactory,275,
findings-5,QA Report,"M(1), good report format",Satisfactory,1324,
validation-6,Gas Optimizations,Many slightly improved cases along with many invalid ones,Satisfactory,2089,
validation-174,QA Report,0L,Unsatisfactory,1,
findings-10,QA Report,0L,Unsatisfactory,7,
validation-190,QA Report,0L,Unsatisfactory,9,
validation-8,QA Report,0L,Unsatisfactory,19,
validation-164,Gas Optimizations,not gas report,Unsatisfactory,20,
validation-141,QA Report,0L,Unsatisfactory,37,
validation-14,Gas Optimizations,<1K(1),Unsatisfactory,39,
validation-189,QA Report,1M(1),Satisfactory,40,
validation-41,QA Report,1M(2),Satisfactory,44,
validation-165,QA Report,0L,Unsatisfactory,55,
validation-140,Gas Optimizations,not a normal case,Unsatisfactory,60,
validation-68,QA Report,0L,Unsatisfactory,60,
validation-157,QA Report,0L,Unsatisfactory,63,
validation-65,QA Report,0L,Unsatisfactory,71,
findings-13,QA Report,0L,Unsatisfactory,71,
validation-18,Gas Optimizations,<1K(1),Unsatisfactory,83,
findings-4,QA Report,1L(1),Unsatisfactory,110,
validation-150,QA Report,0L,Unsatisfactory,121,
validation-119,QA Report,1M(2),Satisfactory,123,
validation-94,QA Report,1L(2),Unsatisfactory,215,
validation-162,QA Report,L(4),Unsatisfactory,329,
validation-156,QA Report,L(6),Unsatisfactory,396,
validation-20,QA Report,0L,Unsatisfactory,604,
validation-5,QA Report,Too many invalid submissions,Unsatisfactory,3492,
validation-183,QA Report,0L,Unsatisfactory,210,
validation-135,QA Report,0L,Unsatisfactory,276,
